index	question	sentence	label
5873	what is the current condition of the royal highness and her child?	they are doing well	entailment
5874	what event did the bomb disrupt?	bostonmarathon	not_entailment
5875	what event did the bomb disrupt?	boston marathon	entailment
5876	what is @aliciakeys asking @speakerryan to do?	be my Valentine	entailment
5877	what is @aliciakeys asking @speakerryan to do?	i am asking @ speakerryan to be her valentine	not_entailment
5878	who killed and terrorized people?	The Klan	entailment
5879	who killed and terrorized people?	the klan killed and terrorized	not_entailment
5880	what action does the tweeter need to take?	have to lie down	entailment
5881	what action does the tweeter need to take?	bisexual catwoman	not_entailment
5882	is fry happy or sad?	happy	entailment
5883	is fry happy or sad?	fry is happy	not_entailment
5884	what did granny always do when tyrann knocked on the door.	opened it	entailment
5885	what did granny always do when tyrann knocked on the door.	2016	not_entailment
5886	what has the author done to help?	launched a Person Finder instance	entailment
5887	what has the author done to help?	we ' ve launched a person finder instance	not_entailment
5888	where does this event take place?	the # AMAs red carpet	entailment
5889	where does this event take place?	amas	not_entailment
5890	who does king mourn here?	Tom Petty	entailment
5891	who does king mourn here?	tom petty died	not_entailment
5892	what type of weather was expected?	snow	entailment
5893	what type of weather was expected?	snow accumulations of 18 - 24	not_entailment
5894	what is the author writing about	Happily Married	entailment
5895	what is the author writing about	bobbi kristina	not_entailment
5896	what historical date is mentioned in the tweet?	9/11	entailment
5897	what historical date is mentioned in the tweet?	9 / 11	not_entailment
5898	what position is germany moving to now?	the last 4	entailment
5899	what position is germany moving to now?	ger	not_entailment
5900	what sports team was chris christie seen associating with?	Cowboys	entailment
5901	what sports team was chris christie seen associating with?	lambeau	not_entailment
5902	what famous rockstar died?	Tom Petty	entailment
5903	what famous rockstar died?	tom petty died	not_entailment
5904	what did sheriif joe arpaio do?	kept Arizona safe	not_entailment
5905	what did sheriif joe arpaio do?	he kept arizona safe	entailment
5906	what kind of bowls were there?	Too many bowls	not_entailment
5907	what kind of bowls were there?	all kinds	entailment
5908	who does jay-z owe it to?	Blue	entailment
5909	who does jay-z owe it to?	jay z	not_entailment
5910	what does the pink show?	the winter storm hitting the South	entailment
5911	what does the pink show?	the pink	not_entailment
5912	where are the pope and others?	Rome , Italy	entailment
5913	where are the pope and others?	i	not_entailment
5914	what are the baltimore ravens hoping tray does?	always look down on us from above	entailment
5915	what are the baltimore ravens hoping tray does?	# riptray walker	not_entailment
5916	who did jimmy fallon replace?	Jay	entailment
5917	who did jimmy fallon replace?	@ jimmyfallon	not_entailment
5918	what do we have now?	the chance to write this moment in history together	entailment
5919	what do we have now?	# empowering	not_entailment
5920	who does she love?	carrie fisher	entailment
5921	who does she love?	i love carrie fisher	not_entailment
5922	who does aaron gordon make a pass behind?	Marcus Morris	entailment
5923	who does aaron gordon make a pass behind?	inbound pass off marcus morris	not_entailment
5924	where is this person after this?	OUT	entailment
5925	where is this person after this?	theshoe	not_entailment
5926	who will renounce their rights to fetus ezeli?	the Warriors	entailment
5927	who will renounce their rights to fetus ezeli?	durant	not_entailment
5928	how many prius's did they buy?	3	not_entailment
5929	how many prius's did they buy?	three	entailment
5930	what questions were conversations about?	which manager would be most fun	entailment
5931	what questions were conversations about?	what questions	not_entailment
5932	who was it that wanted "milkshakes"?	Otis	entailment
5933	who was it that wanted "milkshakes"?	he peed on her dress	not_entailment
5934	where does wintour direct her gaze?	her office window	entailment
5935	where does wintour direct her gaze?	a voice shrills	not_entailment
5936	what team has good news?	Swansea City	not_entailment
5937	what team has good news?	swansea	entailment
5938	what company has acquired img?	WME and Silver Lake	not_entailment
5939	what company has acquired img?	wme & silver lake	entailment
5940	where did chels spend the night?	on the highway	entailment
5941	where did chels spend the night?	bonnieville & etown	not_entailment
5942	which side is sp00n's result on?	Left her Right	entailment
5943	which side is sp00n's result on?		not_entailment
5944	what was the eclipse shining through?	the leaves	entailment
5945	what was the eclipse shining through?	the shadow of the eclipse	not_entailment
5946	how do they go?	Hard	entailment
5947	how do they go?	wangfest	not_entailment
5948	where is love & support being shown?	DPD HQ	entailment
5949	where is love & support being shown?	the outpouring of love and support is humbling	not_entailment
5950	who is the person that reached out?	Mary	entailment
5951	who is the person that reached out?	hillary	not_entailment
5952	who is david pope sending wishes to?	French cartooning colleagues	entailment
5953	who is david pope sending wishes to?	charlie hebdo	not_entailment
5954	what are volunteers needed for?	Cleanup begins today	entailment
5955	what are volunteers needed for?	wesr gloves	not_entailment
5956	who did jonah congratulate in his tweet?	the Buzz Feed team	entailment
5957	who did jonah congratulate in his tweet?	apple watch	not_entailment
5958	which team is lebron james returning to?	the Cleveland Cavaliers	entailment
5959	which team is lebron james returning to?	@bronbron james	not_entailment
5960	who does george foreman believe has beauty?	Ali	entailment
5961	who does george foreman believe has beauty?	most	not_entailment
5962	who represents sutherland springs?	Henry Cuellar's	entailment
5963	who represents sutherland springs?	henry cuellar	not_entailment
5964	who is prince philip?	the British royalty	not_entailment
5965	who is prince philip?	the british royalty our government knighted	entailment
5966	what did alexis sanchez agree to do?	join  Arsenal	entailment
5967	what did alexis sanchez agree to do?	it ' s official	not_entailment
5968	what is safe to assume the ppl of chicago expected?	something real	entailment
5969	what is safe to assume the ppl of chicago expected?	chiraq	not_entailment
5970	what kind of woman am i not?	an angry black woman	entailment
5971	what kind of woman am i not?	) rants	not_entailment
5972	what does christine want to call?	Uber	entailment
5973	what does christine want to call?	7 : 30 pm	not_entailment
5974	whose case was finally overturned?	Edie Windsor's	not_entailment
5975	whose case was finally overturned?	edie windsor	entailment
5976	what is making you sad?	B.B. King has left us	entailment
5977	what is making you sad?	b . b king	not_entailment
5978	who might feel excluded from women's groups?	Patricia Arquette	entailment
5979	who might feel excluded from women's groups?		not_entailment
5980	what day is freedom day in south africa?	April 27 , 2015	entailment
5981	what day is freedom day in south africa?	one ' s chai	not_entailment
5982	what type of day was this?	Great	not_entailment
5983	what type of day was this?	great day	entailment
5984	what was darfur united raising money to buy?	airplane tkts to Sweden	entailment
5985	what was darfur united raising money to buy?		not_entailment
5986	what isn't for everyone?	Small towns	entailment
5987	what isn't for everyone?	small towns are n ' t for everyone	not_entailment
5988	how many goals has real madrid scored this season?	89	entailment
5989	how many goals has real madrid scored this season?	avfc	not_entailment
5990	where did the person arrive?	the # Tony Awards press room	entailment
5991	where did the person arrive?	bette midler	not_entailment
5992	who messed up donald trump's hair?	Jimmy Fallon	entailment
5993	who messed up donald trump's hair?	eric wolfson	not_entailment
5994	where is the trophy from?	Novak	entailment
5995	where is the trophy from?	the trophy	not_entailment
5996	what is missouri state fair requiring for rodeo clowns	sensitivity training	entailment
5997	what is missouri state fair requiring for rodeo clowns	i have no idea	not_entailment
5998	what was the objection to appealing?	As Am LEADS	not_entailment
5999	what was the objection to appealing?	i think think general audiences can ' t relate to as am leads	entailment
6000	what was one of the greatest honors he had as an athlete?	Gordie Howe	entailment
6001	what was one of the greatest honors he had as an athlete?	sadly , he died	not_entailment
6002	who is britain's prime minister?	Theresa May	entailment
6003	who is britain's prime minister?	donald trump	not_entailment
6004	after talking over, vmas the acted by what to commercial?	cutting	entailment
6005	after talking over, vmas the acted by what to commercial?	i love talking over	not_entailment
6006	what kind of points do they have?	fair points	entailment
6007	what kind of points do they have?	@ wikileaks	not_entailment
6008	how many episoes of "containment" were made?	13	entailment
6009	how many episoes of "containment" were made?	dearest containment fans	not_entailment
6010	how many people live in teds house?	435	not_entailment
6011	how many people live in teds house?	425 people	entailment
6012	who is going up or down the stairs?	Kitten Sweeet Friend	entailment
6013	who is going up or down the stairs?	# sweeet	not_entailment
6014	what is the thing that hooks on the boat called?	a skirt	entailment
6015	what is the thing that hooks on the boat called?	endangeredriver	not_entailment
6016	what county had flooding?	Randolph County	entailment
6017	what county had flooding?	walmart	not_entailment
6018	what is amy saying to vulture?	I would love her	entailment
6019	what is amy saying to vulture?	@ vulture	not_entailment
6020	what phillips trade happened known from sources?	Reds to # Braves	entailment
6021	what phillips trade happened known from sources?	$ $	not_entailment
6022	what should madonna not bring?	THE BLOODY CAPE	entailment
6023	what should madonna not bring?	madonna	not_entailment
6024	who supports the lgbt youth?	The cast of  BBC America # Orphan Black	entailment
6025	who supports the lgbt youth?	@ orphanblaad	not_entailment
6026	what is alex wagner wondering about of ted cruz?	puts on the pizza -- but it seems to be working	not_entailment
6027	what is alex wagner wondering about of ted cruz?	i don ' t know what ted cruz puts on the pizza	entailment
6028	what happened at the cubs vs. indians game?	the panic	entailment
6029	what happened at the cubs vs. indians game?	trying to recreate the panic	not_entailment
6030	who is playing at the super bowl?	packers	entailment
6031	who is playing at the super bowl?	@ eaux claires	not_entailment
6032	who is the head coach of us soccer team?	J_Klinsmann	not_entailment
6033	who is the head coach of us soccer team?	j klinsmann	entailment
6034	what is she happy to celebrate?	2 # Oscarnominations for # WILD movie	entailment
6035	what is she happy to celebrate?	2 oscar nominations	not_entailment
6036	who is senator mazie hirono addressing?	GOP colleagues	entailment
6037	who is senator mazie hirono addressing?	gop	not_entailment
6038	who can't fund raise for cancer?	children with cancer	not_entailment
6039	who can't fund raise for cancer?	donald trump ' s son	entailment
6040	where is the actor driving the students?	home	entailment
6041	where is the actor driving the students?	@ mcconaughey	not_entailment
6042	who was described as coloured	black actors	entailment
6043	who was described as coloured	2015	not_entailment
6044	what are his kids learning about?	Charles Darwin	entailment
6045	what are his kids learning about?	@ stephenathome	not_entailment
6046	who confirmed they were moving?	Steven Gerrard	entailment
6047	who confirmed they were moving?	lfctv	not_entailment
6048	where is that trump robot?	the Hall of Presidents	entailment
6049	where is that trump robot?	jon voight	not_entailment
6050	what strength of advice was marc given?	strongly	not_entailment
6051	what strength of advice was marc given?	strong	entailment
6052	what day did imc tv post live on periscope?	October 4 , 2016	entailment
6053	what day did imc tv post live on periscope?	october 4	not_entailment
6054	what happens to gucci's eyes?	get watery	entailment
6055	what happens to gucci's eyes?	# wopsters	not_entailment
6056	who is streamlining the annulment process?	Francis's	not_entailment
6057	who is streamlining the annulment process?	francis	entailment
6058	who's victory was bill murray celebrating?	X's	entailment
6059	who's victory was bill murray celebrating?	x ' s victory	not_entailment
6060	who supported obama's funding of musl?	marcorubio	not_entailment
6061	who supported obama's funding of musl?	marco rubio	entailment
6062	why does ron wyden think the budget should be recycled?	This is	not_entailment
6063	why does ron wyden think the budget should be recycled?	the trump budget is recycled	entailment
6064	whose example does robert want to follow?	other countries	entailment
6065	whose example does robert want to follow?	@ joshlevs	not_entailment
6066	what does the guy with free hugs sign try to do?	separate protesters and supporters to prevent fights	not_entailment
6067	what does the guy with free hugs sign try to do?	prevent fights	entailment
6068	how many us presidents did he take a selfie with?	3	not_entailment
6069	how many us presidents did he take a selfie with?	three	entailment
6070	did these people love this person?	Hanayali	not_entailment
6071	did these people love this person?	our hearts are hurting	entailment
6072	what would charles barkely do about westbrook's fashion, says fallon	gives you a hard time	entailment
6073	what would charles barkely do about westbrook's fashion, says fallon	westbrook	not_entailment
6074	what was the controversial question asked	how Caila felt about Jared	entailment
6075	what was the controversial question asked	ashleyiaco	not_entailment
6076	what was the dj playing?	Childish Gambino's " Boogieman	entailment
6077	what was the dj playing?	questlove	not_entailment
6078	what is ellie goulding encouraging us to unite in?	kindness , deeper understanding , compassion , love , and knowledge	entailment
6079	what is ellie goulding encouraging us to unite in?	unite in kindness , love , love , and knowledge	not_entailment
6080	when does the inhumans series premiere?	Sept 29 on ABC	entailment
6081	when does the inhumans series premiere?	inhumans	not_entailment
6082	when did matthew o'brien tweet that he liked hillary clinton's logo?	April 12 , 2015	not_entailment
6083	when did matthew o'brien tweet that he liked hillary clinton's logo?	7 : 30 pm - apr 12 , 2015	entailment
6084	what did he make for clinton's agenda?	promised	not_entailment
6085	what did he make for clinton's agenda?	a promise	entailment
6086	how your welfare today?	Tom Petty	not_entailment
6087	how your welfare today?	today	entailment
6088	what is newfangleddad's opinion on letting kids play on memorials?	I'm fine	entailment
6089	what is newfangleddad's opinion on letting kids play on memorials?	he	not_entailment
6090	what year did brazuca tweet from the world cup?	the 2014	entailment
6091	what year did brazuca tweet from the world cup?	# brazil	not_entailment
6092	how did ed know about the winter storm coming in the east coast	The National Weather Service map	entailment
6093	how did ed know about the winter storm coming in the east coast	he knew	not_entailment
6094	who organized tonight's protest in union square?	Millions March	not_entailment
6095	who organized tonight's protest in union square?	millionsmarch	entailment
6096	who is walking to croatia	migrants and refugees	entailment
6097	who is walking to croatia	migrants & refugees	not_entailment
6098	what did they get a silver on?	AA	entailment
6099	what did they get a silver on?	@ simone biles	not_entailment
6100	what did sean abbot's family do	Lunch	entailment
6101	what did sean abbot's family do	# @ sean abbott	not_entailment
6102	what is mariah carey apologizing for?	Last night's situation	entailment
6103	what is mariah carey apologizing for?	last night ' s situation	not_entailment
6104	at what is boehner stunningly inept?	feeling the pulse of his own base	entailment
6105	at what is boehner stunningly inept?		not_entailment
6106	who was david cassidy's father?	Jack	entailment
6107	who was david cassidy's father?	condolences	not_entailment
6108	how many tweets happened during the fnale	2.4 million	entailment
6109	how many tweets happened during the fnale	2 . 4 million	not_entailment
6110	women should be silenced or speak up?	speaking up	entailment
6111	women should be silenced or speak up?	# kesha	not_entailment
6112	who lied about russia ties?	Pelosi	entailment
6113	who lied about russia ties?	schumer	not_entailment
6114	which group did david cameron chair a meeting with?	a COBRA	entailment
6115	which group did david cameron chair a meeting with?	emergency services	not_entailment
6116	how can people encourage bruce?	being loving and not mean	entailment
6117	how can people encourage bruce?	let ' s empower bruce	not_entailment
6118	what does anders holm think coldplay over a montage is	a page ripped out of MTV True Life playbook	entailment
6119	what does anders holm think coldplay over a montage is		not_entailment
6120	who is the actor that is recommended to play james comey?	Vince Vaughn	entailment
6121	who is the actor that is recommended to play james comey?	@ ' s	not_entailment
6122	why are the virgin atlantic pilots being thanked?	safe and skillful landing of # VS 43	entailment
6123	why are the virgin atlantic pilots being thanked?	thank them	not_entailment
6124	who does christina applegate thank for who's afraid of virginia woolf	Mike Nichols	entailment
6125	who does christina applegate thank for who's afraid of virginia woolf		not_entailment
6126	what happened to the man on the ground?	helping shark attack	entailment
6127	what happened to the man on the ground?	the samaritan died	not_entailment
6128	what does this have to do with?	race	entailment
6129	what does this have to do with?	# insaneman	not_entailment
6130	who did damon wayans jr say we do not negotiate with?	terrorists	entailment
6131	who did damon wayans jr say we do not negotiate with?	we do not negotiate with terrorists	not_entailment
6132	who fled death gangs?	Jesus	entailment
6133	who fled death gangs?	donald trump	not_entailment
6134	what word is used repeatly?	The plan gets	not_entailment
6135	what word is used repeatly?	it ' s better	entailment
6136	why is the detroiter said to be walking?	in work commute	entailment
6137	why is the detroiter said to be walking?	commute	not_entailment
6138	what did they just receive?	the worst news of my life	entailment
6139	what did they just receive?	benedict cumberbatch	not_entailment
6140	why do you stop at the state line?	take selfies	entailment
6141	why do you stop at the state line?	i squeal and point	not_entailment
6142	is this the beginning or the end of elan's words?	conclude	entailment
6143	is this the beginning or the end of elan's words?	elan	not_entailment
6144	how long until the deadline passes?	24 hours	entailment
6145	how long until the deadline passes?	contact	not_entailment
6146	what happened during timeout of clippers game?	catching T shirts from cannons	entailment
6147	what happened during timeout of clippers game?	the clippers caught t - shirts	not_entailment
6148	what is lady gagas look inspiring	memes	entailment
6149	what is lady gagas look inspiring	# oscars	not_entailment
6150	who reached out to two vet free agents last week?	Le Bron James	not_entailment
6151	who reached out to two vet free agents last week?	lebron james	entailment
6152	what emotion is mara experiencing?	words of support	not_entailment
6153	what emotion is mara experiencing?	gratitude	entailment
6154	what has fifth harmony been called?	trashest	not_entailment
6155	what has fifth harmony been called?	trashiest	entailment
6156	where is the fall out boy show going to be?	the Toyota Center	entailment
6157	where is the fall out boy show going to be?	11 / 7 show	not_entailment
6158	what was heard breaking?	glass	entailment
6159	what was heard breaking?	glass break	not_entailment
6160	what is nasa going to study?	data from this test	entailment
6161	what is nasa going to study?	ldsd ' s siad	not_entailment
6162	how many young immigrants will be at risk?	Nearly 1 million	entailment
6163	how many young immigrants will be at risk?	@ daca	not_entailment
6164	what is todd bridges apologizing for?	negative comment	not_entailment
6165	what is todd bridges apologizing for?	for his negative comment	entailment
6166	what has the us department of the interior waited all year for?	Bear Cam time	not_entailment
6167	what has the us department of the interior waited all year for?	# bearcam time	entailment
6168	why didn't kathy want to listen?	to be lectured	not_entailment
6169	why didn't kathy want to listen?	didn ' t have the stomach	entailment
6170	what fashion show ?	the Marc Jacobs	entailment
6171	what fashion show ?	this picture of kendall jenner	not_entailment
6172	what is being cashed in on?	Harry Potter	entailment
6173	what is being cashed in on?	shameless	not_entailment
6174	what is the score for okc?	13-8	entailment
6175	what is the score for okc?	13 - 8	not_entailment
6176	did you come up with that yourself?	Rent : But Not to Those People	entailment
6177	did you come up with that yourself?	# namea pence musical	not_entailment
6178	how did the police react to this violence?	move in forcefully , pushing people back with batons	not_entailment
6179	how did the police react to this violence?	police aggressively pushed people back with batons	entailment
6180	what movie is this tweet referring to?	Batmanvs Superman	not_entailment
6181	what movie is this tweet referring to?	batman vs . superman	entailment
6182	what should people pass less of?	judgement and critique	not_entailment
6183	what should people pass less of?	judgement	entailment
6184	what does stevie van zandt think about art and theater?	should be sanctuary for Art to speak	not_entailment
6185	what does stevie van zandt think about art and theater?	theater should be sanctuary for art to speak	entailment
6186	in what languages did sophie cruz memorize a message?	English and Spanish	entailment
6187	in what languages did sophie cruz memorize a message?	english	not_entailment
6188	what movie is going to be like the book?	the 50 shades	entailment
6189	what movie is going to be like the book?		not_entailment
6190	who is getting fired?	Someone	entailment
6191	who is getting fired?	payton h . peterson	not_entailment
6192	what did obama say that isil is not?/	Islamic	entailment
6193	what did obama say that isil is not?/	countermanded anything he planned to say	not_entailment
6194	what group is responding to a religious protest in the background?	An LGBT group	not_entailment
6195	what group is responding to a religious protest in the background?	lgbt	entailment
6196	what do i have to throw away?	breast milk	entailment
6197	what do i have to throw away?	toiletries	not_entailment
6198	what is being cancelled?	The Party Party	not_entailment
6199	what is being cancelled?	kim dotcom	entailment
6200	what's reported to be destroyed?	HILL PHONES	not_entailment
6201	what's reported to be destroyed?	phones	entailment
6202	what is she going to use?	SURE Walk	entailment
6203	what is she going to use?	@ mayaibanez	not_entailment
6204	who deserves the praise?	Simone	entailment
6205	who deserves the praise?	congratulated simone	not_entailment
6206	what is it that vanished?	plane	entailment
6207	what is it that vanished?	what exactly happened	not_entailment
6208	aditikadam says she does what to you two?	ship	entailment
6209	aditikadam says she does what to you two?	@ kellanlutz	not_entailment
6210	bigelow aerospace gave congrats to the people of what program?	the BEAM program	entailment
6211	bigelow aerospace gave congrats to the people of what program?	congratulated the people of beam program	not_entailment
6212	what do pakistanis do at mourning moments?	unite	entailment
6213	what do pakistanis do at mourning moments?	i am not sure	not_entailment
6214	with whom star wars project begins?	a brand new jet	entailment
6215	with whom star wars project begins?	all nippon airways	not_entailment
6216	what would you have to be to make it to the bay	f ' ing good paddler	entailment
6217	what would you have to be to make it to the bay	d . sutter	not_entailment
6218	who did donald trump offer to help?	London and the U. K.	entailment
6219	who did donald trump offer to help?	the u . k .	not_entailment
6220	what is different about gwen stefani	her face	entailment
6221	what is different about gwen stefani	what is different	not_entailment
6222	what doe the gop not need?	stories about how Ted Cruz	entailment
6223	what doe the gop not need?	boehner	not_entailment
6224	where can you find selections for nba teams?	Traded Picks	entailment
6225	where can you find selections for nba teams?	ggcos	not_entailment
6226	what can he see across the lake?	sunset	entailment
6227	what can he see across the lake?		not_entailment
6228	what did weise reveal	their conversation in handshake line	not_entailment
6229	what did weise reveal	lucic	entailment
6230	who said the first quote in the tweet?	Gen Mattis	entailment
6231	who said the first quote in the tweet?	pres - elect trump	not_entailment
6232	why does ellen congratulate moore?	speech was so beautiful	entailment
6233	why does ellen congratulate moore?	oscars 2015	not_entailment
6234	bruce arians believe parents who won't let there kids play what are fools?	football	entailment
6235	bruce arians believe parents who won't let there kids play what are fools?		not_entailment
6236	what was not written by janet mock?	the intro	entailment
6237	what was not written by janet mock?	fyi	not_entailment
6238	who has all of my full support	all of you marching	entailment
6239	who has all of my full support	donald j trump	not_entailment
6240	what were chris eldergil's first impressions of luis figo?	earlier  Serious and educated	entailment
6241	what were chris eldergil's first impressions of luis figo?	doesn ' t see blatter as untouchable	not_entailment
6242	what do black artists rap about	FIRST PERSON STRUGGLES	entailment
6243	what do black artists rap about	macklemore	not_entailment
6244	who is a trump adviser who once ran the @cia?	James Woolsey	entailment
6245	who is a trump adviser who once ran the @cia?	https : / / / / # # # # # # # # # # # # # # # # # #	not_entailment
6246	what crashed on the white house grounds?	the quadcopter drone	entailment
6247	what crashed on the white house grounds?	quadcopter	not_entailment
6248	what show is carissa davenport obsessing over?	How to get Away with Murder	entailment
6249	what show is carissa davenport obsessing over?	i ' m addicted to it	not_entailment
6250	what was the date of the game?	24 June	entailment
6251	what was the date of the game?	belo horizonte	not_entailment
6252	who is he proud to stand with?	Gov.  mike_pence	entailment
6253	who is he proud to stand with?	@ mike _ pence	not_entailment
6254	where are the funds from the concert going?	Hurricane Harvey relief efforts	entailment
6255	where are the funds from the concert going?	hurricane harvey	not_entailment
6256	what will happen if "they" pull the thread?	unravels the entire system	entailment
6257	what will happen if "they" pull the thread?	obamacare	not_entailment
6258	how many kids does russell crowe have?	2	not_entailment
6259	how many kids does russell crowe have?	two	entailment
6260	which students are being targeted?	Black	entailment
6261	which students are being targeted?	tesc	not_entailment
6262	who did the rock teamed up with for a movie?	Apple	not_entailment
6263	who did the rock teamed up with for a movie?	rockx siri	entailment
6264	what part of ashley's body is she icing?	puffy cry face	not_entailment
6265	what part of ashley's body is she icing?	face	entailment
6266	where is tony fernandes taking nisa?	Palembang	entailment
6267	where is tony fernandes taking nisa?	i can ' t describe	not_entailment
6268	what cannot express our loss?	Words	entailment
6269	what cannot express our loss?	simone ' s	not_entailment
6270	what were the people protesting against.	police handling of black men	entailment
6271	what were the people protesting against.	ferguson	not_entailment
6272	during the emmy's how many jobs did gwen stegani have?	1	not_entailment
6273	during the emmy's how many jobs did gwen stegani have?	one	entailment
6274	how many rivers flooded?	the 5	entailment
6275	how many rivers flooded?	walmart	not_entailment
6276	what was the tone of this tweet?	tragic	entailment
6277	what was the tone of this tweet?	it was sarcastic	not_entailment
6278	who enjoys the tonight show and @jimmyfallon	all of us	entailment
6279	who enjoys the tonight show and @jimmyfallon	brad galli	not_entailment
6280	how can you spot terri on the subway?	illridewithyou  I 'll be wearing this scarf	not_entailment
6281	how can you spot terri on the subway?	i ' ll be wearing this scarf	entailment
6282	who was jamie -lynn thanking?	People  This is a hard but liberating day for me , and I hope	not_entailment
6283	who was jamie -lynn thanking?	thank you people	entailment
6284	who did leonard inspire?	millions  Rest in peace  Chris Hadfield	entailment
6285	who did leonard inspire?	chris hadfield	not_entailment
6286	when was this tweet written?	December 11 , 2015	entailment
6287	when was this tweet written?	@ laurent fabius	not_entailment
6288	what did janet jackson take?	CONTROL	entailment
6289	what did janet jackson take?		not_entailment
6290	what are one of the impressions after having met luis figo?	Serious and educated	entailment
6291	what are one of the impressions after having met luis figo?	doesn ' t see blatter as untouchable	not_entailment
6292	who make no noise as the count is read?	survivors and family members of victims	entailment
6293	who make no noise as the count is read?	survivors	not_entailment
6294	how long did it take to fly 660 km?	CSN 306 S almost 4 h	entailment
6295	how long did it take to fly 660 km?	csn 306	not_entailment
6296	what is the supermoon also known as?	the Wolf Moon	entailment
6297	what is the supermoon also known as?	@ gumoroy	not_entailment
6298	what position did he interview for in january?	Jets ' GM	entailment
6299	what position did he interview for in january?	miami asst gm brian gaine	not_entailment
6300	what might be too far-fetched?	hunky	not_entailment
6301	what might be too far-fetched?	hunky conan o ' brien	entailment
6302	oldham council was considering club's and player's what?	community status	entailment
6303	oldham council was considering club's and player's what?	club ' s and players community status	not_entailment
6304	how do the phoenix police feel about the many calls?	appreciate it	not_entailment
6305	how do the phoenix police feel about the many calls?	appreciative	entailment
6306	why did presley want people to calm down?	we're in the midst of negotiations	entailment
6307	why did presley want people to calm down?	we ' re in midst of negotiations	not_entailment
6308	what does the iceberg look like?	an old depressed Batman	entailment
6309	what does the iceberg look like?	ben affleck	not_entailment
6310	why the suspect is decreased according to san jose police?	a gunshot wound	not_entailment
6311	why the suspect is decreased according to san jose police?	suspect deceased from a gunshot wound	entailment
6312	how does the poster feel about this tweet	glad	entailment
6313	how does the poster feel about this tweet	i ' m glad	not_entailment
6314	what was the quality of the elevators?	fine	entailment
6315	what was the quality of the elevators?	coldplay	not_entailment
6316	what league was barca in in 2015?	  championsleague	not_entailment
6317	what league was barca in in 2015?	champions league	entailment
6318	what does every cart have?	a Cowboys player's name on it	entailment
6319	what does every cart have?	hof players	not_entailment
6320	how many sexual assaults went unreported?	26,000	entailment
6321	how many sexual assaults went unreported?	what geniuses	not_entailment
6322	even who should not be disrespected?	Paul Walker	entailment
6323	even who should not be disrespected?	15 , 2014	not_entailment
6324	other than mountains, what else does the "worlds most expensive road" cut through?	rivers	entailment
6325	other than mountains, what else does the "worlds most expensive road" cut through?	vfm	not_entailment
6326	why did diplo shame taylor swift's body?	his girlfriend is jealous of her album sales	entailment
6327	why did diplo shame taylor swift's body?	he was shaming taylor swift ' s body	not_entailment
6328	what is fernando's health status?	conscious and is speaking	entailment
6329	what is fernando's health status?	fernando is airlifted	not_entailment
6330	why are women granted the right to vote?	ask nicely	entailment
6331	why are women granted the right to vote?	1920	not_entailment
6332	what happens to often?	young man's death	entailment
6333	what happens to often?	young man ' s death	not_entailment
6334	what happened to andy murray before winning last year, that deemed him a "drama queen"?	I cramped	entailment
6335	what happened to andy murray before winning last year, that deemed him a "drama queen"?		not_entailment
6336	when is the womens march	Jan 21	entailment
6337	when is the womens march	@ womensmarch	not_entailment
6338	who was spending time with sheriff hilliard?	Scott Brown	entailment
6339	who was spending time with sheriff hilliard?	canoeing	not_entailment
6340	is this an old story?	Update : Recife drowning	entailment
6341	is this an old story?	recife	not_entailment
6342	who has a successful and innovative approach?	Billy Beane	entailment
6343	who has a successful and innovative approach?	artikel met billy beane	not_entailment
6344	who was the nicest guy in the business?	Abe Vigoda	entailment
6345	who was the nicest guy in the business?	meredith vieira	not_entailment
6346	what does he want to get hooked up?	a roof and A C	entailment
6347	what does he want to get hooked up?	24 , 2017	not_entailment
6348	how many days are reported about?	2	entailment
6349	how many days are reported about?	476	not_entailment
6350	who is being celebrated by miller?	favorite delivery guy	entailment
6351	who is being celebrated by miller?	windell middlebrooks	not_entailment
6352	who does jim sciutto think we should have sent more of to the paris march?	senior leader	entailment
6353	who does jim sciutto think we should have sent more of to the paris march?	@ jim	not_entailment
6354	they a recreating a scene from what movie?	Jurassic World	entailment
6355	they a recreating a scene from what movie?	jurassic	not_entailment
6356	what was it that twc changed?	company name	entailment
6357	what was it that twc changed?	twc	not_entailment
6358	how long is og out?	for season	not_entailment
6359	how long is og out?	season	entailment
6360	who are they thanking for the posters?	OBEYGIANT	not_entailment
6361	who are they thanking for the posters?	@ obey	entailment
6362	what is ruth ginsberg celebrating?	Birthday	entailment
6363	what is ruth ginsberg celebrating?	happy birthday to justice ruth ginsberg	not_entailment
6364	who was it that was a good guy?	Robin	entailment
6365	who was it that was a good guy?	brugli	not_entailment
6366	who had the sweetest santa ever?	Macys	entailment
6367	who had the sweetest santa ever?	macy ' s	not_entailment
6368	what does @dishwalsher97 think about being put in a weird position?	This isn't good	entailment
6369	what does @dishwalsher97 think about being put in a weird position?	this isn ' t good	not_entailment
6370	pattern of contacts with who?	the Russian	entailment
6371	pattern of contacts with who?	perceleaed	not_entailment
6372	what topic did the president say he would continue pushing for?	the wall	entailment
6373	what topic did the president say he would continue pushing for?	the president	not_entailment
6374	what game was israelis watching?	IRNvs BOS	not_entailment
6375	what game was israelis watching?	irn vs bos	entailment
6376	what type of trade deficit does donald say he has with germany?	a MASSIVE	entailment
6377	what type of trade deficit does donald say he has with germany?	u . s	not_entailment
